,precision,recall,f1-score,support
ky_hieu_tich,0.9901639344262295,0.993421052631579,0.9917898193760263,304.0
ky_hieu_tong_can,0.9933774834437086,0.9868421052631579,0.9900990099009901,304.0
ky_hieu_tong_sigma_images,0.9967213114754099,1.0,0.9983579638752053,304.0
accuracy,0.993421052631579,0.993421052631579,0.993421052631579,0.993421052631579
macro avg,0.9934209097817827,0.9934210526315789,0.9934155977174073,912.0
weighted avg,0.9934209097817827,0.993421052631579,0.9934155977174073,912.0
